artist_id,name,clean_name
201,Luciana Souza/Romero Lubambo,Luciana Souza|Romero Lubambo
202,Aaron Goldberg,Aaron Goldberg
203,Nicolaus Esterhazy Sinfonia,Nicolaus Esterhazy Sinfonia
204,Temple of the Dog,Temple of the Dog
205,Chris Cornell,Chris Cornell
206,Alberto Turco & Nova Schola Gregoriana,Alberto Turco|Nova Schola Gregoriana
207,"Richard Marlow & The Choir of Trinity College, Cambridge",Richard Marlow|The Choir of Trinity College|Cambridge
208,English Concert & Trevor Pinnock,English Concert|Trevor Pinnock
209,"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",Anne-Sophie Mutter|Herbert Von Karajan|Wiener Philharmoniker
210,"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",Hilary Hahn|Jeffrey Kahane|Los Angeles Chamber Orchestra|Margaret Batjer
211,Wilhelm Kempff,Wilhelm Kempff
212,Yo-Yo Ma,Yo-Yo Ma
213,Scholars Baroque Ensemble,Scholars Baroque Ensemble
214,Academy of St. Martin in the Fields & Sir Neville Marriner,Academy of St. Martin in the Fields|Sir Neville Marriner
215,Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,Academy of St. Martin in the Fields Chamber Ensemble|Sir Neville Marriner
216,"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",Berliner Philharmoniker|Claudio Abbado|Sabine Meyer
217,Royal Philharmonic Orchestra & Sir Thomas Beecham,Royal Philharmonic Orchestra|Sir Thomas Beecham
218,Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,Orchestre Révolutionnaire et Romantique|John Eliot Gardiner
219,"Britten Sinfonia, Ivor Bolton & Lesley Garrett",Britten Sinfonia|Ivor Bolton|Lesley Garrett
220,"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",Chicago Symphony Chorus|Chicago Symphony Orchestra|Sir Georg Solti
221,Sir Georg Solti & Wiener Philharmoniker,Sir Georg Solti|Wiener Philharmoniker
222,"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",Academy of St. Martin in the Fields|John Birch|Sir Neville Marriner|Sylvia McNair
223,London Symphony Orchestra & Sir Charles Mackerras,London Symphony Orchestra|Sir Charles Mackerras
224,Barry Wordsworth & BBC Concert Orchestra,Barry Wordsworth|BBC Concert Orchestra
225,"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",Herbert Von Karajan|Mirella Freni|Wiener Philharmoniker
226,Eugene Ormandy,Eugene Ormandy
227,Luciano Pavarotti,Luciano Pavarotti
228,Leonard Bernstein & New York Philharmonic,Leonard Bernstein|New York Philharmonic
229,Boston Symphony Orchestra & Seiji Ozawa,Boston Symphony Orchestra|Seiji Ozawa
230,Aaron Copland & London Symphony Orchestra,Aaron Copland|London Symphony Orchestra
231,Ton Koopman,Ton Koopman
232,Sergei Prokofiev & Yuri Temirkanov,Sergei Prokofiev|Yuri Temirkanov
233,Chicago Symphony Orchestra & Fritz Reiner,Chicago Symphony Orchestra|Fritz Reiner
234,Orchestra of The Age of Enlightenment,Orchestra of The Age of Enlightenment
235,"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",Emanuel Ax|Eugene Ormandy|Philadelphia Orchestra
236,James Levine,James Levine
237,Berliner Philharmoniker & Hans Rosbaud,Berliner Philharmoniker|Hans Rosbaud
238,Maurizio Pollini,Maurizio Pollini
239,"Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett",Academy of St. Martin in the Fields|Sir Neville Marriner|William Bennett
240,Gustav Mahler,Gustav Mahler
241,"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",Felix Schmidt|London Symphony Orchestra|Rafael Frühbeck de Burgos
242,Edo de Waart & San Francisco Symphony,Edo de Waart|San Francisco Symphony
243,Antal Doráti & London Symphony Orchestra,Antal Doráti|London Symphony Orchestra
244,Choir Of Westminster Abbey & Simon Preston,Choir Of Westminster Abbey|Simon Preston
245,Michael Tilson Thomas & San Francisco Symphony,Michael Tilson Thomas|San Francisco Symphony
246,"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",Chor der Wiener Staatsoper|Herbert Von Karajan|Wiener Philharmoniker
247,The King's Singers,The King's Singers
248,Berliner Philharmoniker & Herbert Von Karajan,Berliner Philharmoniker|Herbert Von Karajan
249,"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker",Sir Georg Solti|Sumi Jo|Wiener Philharmoniker
250,Christopher O'Riley,Christopher O'Riley
251,Fretwork,Fretwork
252,Amy Winehouse,Amy Winehouse
253,Calexico,Calexico
254,Otto Klemperer & Philharmonia Orchestra,Otto Klemperer|Philharmonia Orchestra
255,Yehudi Menuhin,Yehudi Menuhin
256,Philharmonia Orchestra & Sir Neville Marriner,Philharmonia Orchestra|Sir Neville Marriner
257,"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",Academy of St. Martin in the Fields|Sir Neville Marriner|Thurston Dart
258,Les Arts Florissants & William Christie,Les Arts Florissants|William Christie
259,The 12 Cellists of The Berlin Philharmonic,The 12 Cellists of The Berlin Philharmonic
260,Adrian Leaper & Doreen de Feis,Adrian Leaper|Doreen de Feis
261,"Roger Norrington, London Classical Players",Roger Norrington|London Classical Players
262,Charles Dutoit & L'Orchestre Symphonique de Montréal,Charles Dutoit|L'Orchestre Symphonique de Montréal
263,"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",Equale Brass Ensemble|John Eliot Gardiner|Munich Monteverdi Orchestra|Choir
264,Kent Nagano and Orchestre de l'Opéra de Lyon,Kent Nagano|Orchestre de l'Opéra de Lyon
265,Julian Bream,Julian Bream
266,Martin Roscoe,Martin Roscoe
267,Göteborgs Symfoniker & Neeme Järvi,Göteborgs Symfoniker|Neeme Järvi
268,Itzhak Perlman,Itzhak Perlman
269,Michele Campanella,Michele Campanella
270,Gerald Moore,Gerald Moore
271,"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",Mela Tenenbaum|Pro Musica Prague|Richard Kapp
272,Emerson String Quartet,Emerson String Quartet
273,"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",C. Monteverdi|Nigel Rogers - Chiaroscuro; London Baroque; London Cornett|Sackbu
274,Nash Ensemble,Nash Ensemble
275,Philip Glass Ensemble,Philip Glass Ensemble
